id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
217,217,2799.000000,002,Tasa,0.160000,447.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
218,218,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
219,219,745.400000,002,Tasa,0.160000,119.264000,2026-01-15 20:59:52,2026-01-15 20:59:52
220,220,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
221,221,1999.000000,002,Tasa,0.160000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
222,222,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
223,223,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
224,224,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
225,225,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
226,226,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
227,227,7402.750000,002,Tasa,0.160000,1184.440000,2026-01-15 20:59:53,2026-01-15 20:59:53
228,228,56355.320000,002,Tasa,0.160000,9016.851200,2026-01-15 20:59:53,2026-01-15 20:59:53
229,229,5239.000000,002,Tasa,0.160000,838.240000,2026-01-15 20:59:53,2026-01-15 20:59:53
230,230,3899.000000,002,Tasa,0.160000,623.840000,2026-01-15 20:59:53,2026-01-15 20:59:53
231,231,1258.000000,002,Tasa,0.160000,201.280000,2026-01-15 20:59:53,2026-01-15 20:59:53
